model,step,nll_val_avg,nll_val_dim1,nll_val_dim2,nll_val_dim3,nll_val_dim4,nll_val_dim5,nll_val_dim6
bidirectional,14700,-1.2307848731676738,-2.3404414653778076,-1.5641307830810547,-1.1299582719802856,-0.8730282187461853,-0.8703535795211792,-0.60679692029953
bidirectional,14800,-1.196427822113037,-2.31832218170166,-1.483151912689209,-1.0299201011657715,-0.7895451188087463,-0.9045425057411194,-0.6530851125717163
bidirectional,14900,-1.2055360277493794,-2.1672539710998535,-1.453993558883667,-1.1428877115249634,-0.88092041015625,-0.9075348377227783,-0.6806256771087646
bidirectional,15000,-1.082408179839452,-1.9737486839294434,-1.491605520248413,-0.9149233102798462,-0.6836445927619934,-0.8372114300727844,-0.5933155417442322
bidirectional,15100,-1.19651198387146,-2.2922685146331787,-1.4335930347442627,-1.1785460710525513,-0.7571659088134766,-0.8586287498474121,-0.6588696241378784
bidirectional,15200,-1.2037370204925537,-2.2609071731567383,-1.597763180732727,-1.1554564237594604,-0.7853571772575378,-0.8667013645172119,-0.5562368035316467
bidirectional,15300,-1.0758578876654308,-2.114300012588501,-1.205254077911377,-0.9620448350906372,-0.7952726483345032,-0.7886063456535339,-0.589669406414032
bidirectional,15400,-1.1283435821533203,-1.7083784341812134,-1.5535968542099,-1.145975947380066,-0.9061520099639893,-0.912434995174408,-0.5435232520103455
bidirectional,15500,-1.2373421291510265,-2.3092074394226074,-1.597441554069519,-1.202454686164856,-0.775984525680542,-0.8927609920501709,-0.6462035775184631
bidirectional,15600,-1.26047087709109,-2.3313331604003906,-1.5955547094345093,-1.18440580368042,-0.8788368105888367,-0.8998591303825378,-0.672835648059845
bidirectional,15700,-1.230323076248169,-2.258787155151367,-1.5112783908843994,-1.2044352293014526,-0.8847442269325256,-0.8683251738548279,-0.6543682813644409
bidirectional,15800,-1.1688999931017559,-1.9915082454681396,-1.6575603485107422,-1.108945608139038,-0.8356580138206482,-0.8158274292945862,-0.6039003133773804
bidirectional,15900,-1.2364252010981243,-2.2493507862091064,-1.6714580059051514,-1.1674262285232544,-0.8448060750961304,-0.8431647419929504,-0.6423453688621521
bidirectional,16000,-1.185936063528061,-2.129373788833618,-1.519997477531433,-1.1437922716140747,-0.8600203990936279,-0.8296379446983337,-0.6327944993972778
bidirectional,16100,-1.205398400624593,-2.162665605545044,-1.5211164951324463,-1.1721869707107544,-0.885758638381958,-0.820559561252594,-0.670103132724762
bidirectional,16200,-1.265079488356908,-2.4180521965026855,-1.5971688032150269,-1.1682394742965698,-0.873857319355011,-0.8801635503768921,-0.6529955863952637
bidirectional,16300,-1.2775253454844158,-2.4250643253326416,-1.62556791305542,-1.2012287378311157,-0.8993784189224243,-0.8812788128852844,-0.6326338648796082
bidirectional,16400,-1.192207505305608,-2.145217180252075,-1.5547373294830322,-1.1172889471054077,-0.8783609867095947,-0.8301196694374084,-0.6275209188461304
bidirectional,16500,-1.206156333287557,-2.3126142024993896,-1.6258037090301514,-1.0544288158416748,-0.8369771242141724,-0.7835362553596497,-0.623577892780304
bidirectional,16600,-1.230966826279958,-2.230984926223755,-1.5727792978286743,-1.1428576707839966,-0.8661952614784241,-0.8943507075309753,-0.6786330938339233
